0	0	Q29920056
0	1	Q5186964
0	2	Q17824987
0	3	Q638893
1	0	Q56241017
1	1	Q27139135
1	2	Q14873998
1	3	Q840604
2	0	Q56241015
2	1	Q27139135
2	2	Q14873998
2	3	Q840604
3	0	Q56241008
3	1	Q27139135
3	2	Q14873998
3	3	Q840604
4	0	Q56241028
4	1	Q27114666
4	2	Q14873998
4	3	Q840604
5	0	Q56241014
5	1	Q4830631
5	2	Q14873998
5	3	Q840604
6	0	Q66084447
6	1	Q177094
6	2	Q20969938
6	3	Q836605
7	0	Q66084446
7	1	Q177094
7	2	Q20969938
7	3	Q836605
8	0	Q32964984
8	1	Q417775
8	2	Q20969980
8	3	Q847102
9	0	Q29938817
9	1	Q27095683
9	2	Q14912399
9	3	Q840734
10	0	Q32965379
10	1	Q27139135
10	2	Q14873998
10	3	Q840604
11	0	Q32965019
11	1	Q27139135
11	2	Q14873998
11	3	Q840604
12	0	Q32964888
12	1	Q27139135
12	2	Q14873998
12	3	Q840604
13	0	Q32965334
13	1	Q27114666
13	2	Q14873998
13	3	Q840604
14	0	Q32965324
14	1	Q27114666
14	2	Q14873998
14	3	Q840604
15	0	Q32965015
15	1	Q4830631
15	2	Q14873998
15	3	Q840604
16	0	Q32965011
16	1	Q4830631
16	2	Q14873998
16	3	Q840604
17	0	Q32965445
17	1	Q894611
17	2	Q14873998
17	3	Q840604
18	0	Q32965063
18	1	Q894611
18	2	Q14873998
18	3	Q840604
19	0	Q32965059
19	1	Q894611
19	2	Q14873998
19	3	Q840604
